"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewImages/12","reviewImages/13","reviewImages/14","reviewImages/15","reviewImages/16","reviewImages/17","reviewImages/18","reviewImages/19","reviewImages/20","reviewImages/21","reviewImages/22","reviewImages/23","reviewImages/24","reviewImages/25","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value"
"Canada",,"2025-06-01",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","1",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Been looking for a replacement laptop since the chromebook I had was damaged. This arrived a day after I ordered it, 3 days ahead of schedule which I am very thankful and impressed. It may be too early to review but so far i am impressed with this laptop. Excellent quality streaming videos and fast processing.","RTRBBY1T7OVBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"It’s Magic. Ace Magic!","https://www.amazon.ca/gp/customer-reviews/RTRBBY1T7OVBZ","Reviewed in Canada on June 1, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-04-30",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","2",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Overall, I’m very satisfied with this laptop. It’s lightweight and slim, making it easy to carry around. The design is simple and elegant, and the build quality feels solid. Storage space is generous, handling work files, study materials, and multimedia easily. In everyday use, it runs smoothly, and multitasking hasn’t been an issue. Battery life is impressive too — it lasts a full day under normal use. So far, the experience has been great, especially for light work and study needs. However, if you plan to do heavy gaming or demanding tasks, you might want to look at a higher-end model. For the price, it offers great value and is definitely worth considering.","RR5XIEI4WM38Q","https://m.media-amazon.com/images/I/711e8lcaQ0L._SY88.jpg","https://m.media-amazon.com/images/I/71MlK45TcIL._SY88.jpg","https://m.media-amazon.com/images/I/71rlZRmXD9L._SY88.jpg",,,,,,,,,,,,,,,,,,,,,,,,"2","Great laptop, I like it!","https://www.amazon.ca/gp/customer-reviews/RR5XIEI4WM38Q","Reviewed in Canada on April 30, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-06-16",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","3",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Fonctionne très bien pour le travail","R2UIQ4PYCS1LMV",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Très bien","https://www.amazon.ca/gp/customer-reviews/R2UIQ4PYCS1LMV","Reviewed in Canada on June 16, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-05-01",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","4",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I purchased this laptop 3 weeks ago for my daughter, who is a medical student frequently on the go. She’s been pleased with its performance - it’s slim, lightweight, and has a vibrant display, making it ideal for her studies. The ample storage has also been a big plus for handling schoolwork. While she mentioned it could be a bit faster for gaming, she’s still satisfied overall, especially given the reasonable price. A good choice for students who need reliability and portability.","R17SXXOLA4982R",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good portable laptop for students","https://www.amazon.ca/gp/customer-reviews/R17SXXOLA4982R","Reviewed in Canada on May 1, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-04-22",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","5",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","First time using N processors, in begining I was hesitant but it suprised me. The laptop is well built, it is slim and has all the ports necessary. It is light weight and bazels are very small. The battery lasts long enough and charger is fast and type c. The cable could be longer though. In terms of performance it is fast for light work such as streaming, coding etc but don't expect to play games on it. Only downside would be not having the latest wifi card but it is good enough for most users","R2PPU8BVNHDNBY","https://m.media-amazon.com/images/I/615rnPEX4qL._SY88.jpg","https://m.media-amazon.com/images/I/71s4rFh2sbL._SY88.jpg",,,,,,,,,,,,,,,,,,,,,,,,,"2","slim and well built","https://www.amazon.ca/gp/customer-reviews/R2PPU8BVNHDNBY","Reviewed in Canada on April 22, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-04-14",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","6",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This laptop is very fast, lightweight, and slim. It works perfectly for browsing, watching videos, and handling documents. The price is also very affordable, which makes it a great value. Overall, I’m very satisfied with the performance and design. Highly recommended","R2S03D0T7Q8FAV","https://m.media-amazon.com/images/I/613noJm4KuL._SY88.jpg","https://m.media-amazon.com/images/I/617dZw1-IpL._SY88.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,"fast and slim","https://www.amazon.ca/gp/customer-reviews/R2S03D0T7Q8FAV","Reviewed in Canada on April 14, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-06-10",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","7",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This laptop is really great! It is really light and well produced. Beyond my expectations! This is great for students’ use or daily work.","R2MYQI6IBUC5E0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great choice for purchase","https://www.amazon.ca/gp/customer-reviews/R2MYQI6IBUC5E0","Reviewed in Canada on June 10, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-04-02",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","true","8",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I have had the computer for about five days, and so far, there have been no issues. The display is nice; I love that it has numbers on the side. It has a great size and isn’t heavy either.","R1S5PRE65KTBGP",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Great Buy","https://www.amazon.ca/gp/customer-reviews/R1S5PRE65KTBGP","Reviewed in Canada on April 2, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-05-29",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","false","9",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This product has lot of features and enought memory for this product.","R3U78LVDVH1RCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The quality and features","https://www.amazon.ca/gp/customer-reviews/R3U78LVDVH1RCU","Reviewed in Canada on May 29, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
"Canada",,"2025-05-20",,"allStars","https://www.amazon.ca/ACEMAGIC-Computer-Windows-Ordinateur-Portable/dp/B0F1KJ4L8Q","false","false","10",,,"B0F1KJ4L8Q","B0F1KJ4L8Q","5","https://www.amazon.ca/product-reviews/B0F1KJ4L8Q?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0F1KJ4L8Q&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","WOW it's great","R2HJCCK147L9J9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fab piece of equipment","https://www.amazon.ca/gp/customer-reviews/R2HJCCK147L9J9","Reviewed in Canada on May 20, 2025","48","45",,,"Size: 15.6in N97 16GB DDR4 512GB SSD","B0F1KJ4L8Q","Size","15.6in N97 16GB DDR4 512GB SSD"
